iteration,hcr_variation,efr_variation,cat_variation,npv_climate,nav_ratio
0,0.949816047538945,1.1352142919229748,1.139196365086843,-9302594.226048168,-129.16709173121998
1,1.0394633936788147,0.8968055921327309,0.7935967122017216,-8082300.384217893,-112.22323684766742
2,0.8232334448672798,1.1098528437324804,1.0606690070459253,-8586237.875670783,-119.22043984326108
3,1.0832290311184183,0.8561753482887408,1.2819459112971967,-9411872.921060154,-130.68443311792234
4,1.1329770563201687,0.9137017332034828,0.8090949803242603,-8494984.43679941,-117.95338024428563
5,0.8733618039413735,0.9412726728878613,1.0148538589793428,-8198569.782393724,-113.83764457682098
6,0.9727780074568463,0.9373687420594126,1.0671117368334277,-8673859.749253387,-120.43707493533188
7,0.8557975442608168,0.9376433945605654,0.919817105976215,-7877823.807893797,-109.38406703662858
8,0.9824279936868143,1.085552788417904,0.8198042692950158,-8447243.026089758,-117.29048782667975
9,1.0056937753654447,1.0277243706586128,0.7278702476319986,-8135281.594686961,-112.95888420650061
10,1.0430179407605753,0.9011572371061874,0.7390309557911676,-7962827.667685977,-110.56435084655119
11,1.1795542149013332,1.1396896099223677,1.1850384088698767,-10239557.595426688,-142.17688561671773
12,0.9218455076693483,0.8793016342019151,1.1105398159072941,-8456984.138029713,-117.42574376378052
13,0.9760609974958405,0.8866114704534336,0.9971061460667621,-8368087.699757975,-116.1914112627807
14,0.8137554084460874,1.1227961206236345,0.8552679889600101,-8047405.002805281,-111.73871233521501
15,1.0650089137415928,0.9435133228268232,1.0120408127066864,-8868401.69080883,-123.13830173291697
16,1.0186841117373118,0.9054563366576581,1.2817507766587353,-9314733.470663233,-129.33564588768863
17,1.1100531293444458,1.1318496824692565,1.2368964102565894,-10111742.55770194,-140.40216597386868
18,1.039159991524434,1.126562270506935,0.7530955012311517,-8578455.96445631,-119.11238752847028
19,0.8783931449676581,0.8635681866731614,0.8951981984579586,-7697683.182127624,-106.88280339258986
20,0.9554709158757928,0.9314047095321687,1.1972425054911577,-8939448.443674056,-124.12479025660767
21,0.9427013306774358,0.9342803529062141,1.0256176498949492,-8451373.198338613,-117.3478355218248
22,0.856369689989905,1.0906590942262118,0.7447303862078625,-7821842.288553673,-108.60676020499106
23,1.194754774640207,1.0816734307889972,0.8192294089205034,-9179316.926620264,-127.45537886310473
24,0.802208846849441,1.09463842853645,1.1241144063085702,-8639303.237769095,-119.95725565263072
25,1.0916028672163949,1.0813811040057837,0.7444267910404542,-8620686.011675883,-119.69875432578263
26,0.943386291417709,0.8847607178575388,1.217862055525356,-8828743.965686187,-122.58765178578453
27,1.0493192507310232,0.9492694074557947,0.7381350101716141,-8108949.090945319,-112.59325577601555
28,0.9243929286862649,0.9475549966080241,1.1377637070028384,-8716748.78239702,-121.03259179264197
29,1.0550229885420852,1.1161638227728978,0.9833289550971696,-9211581.697992597,-127.90337719370669
30,0.8478376983753207,1.0639734361668984,1.1564710291701386,-8803584.438029999,-122.23831020023184
31,1.0245108790277986,1.0812901539863682,0.9962773578186345,-9047095.627189633,-125.61947800605611
32,1.0090931317527976,0.9782623055075649,0.7152514760464571,-7984088.58474401,-110.8595599846898
33,0.8431565707973219,0.8594287557060203,1.0818462467582683,-8053743.054152085,-111.82671656713318
34,0.9257423924305307,1.0025712073494109,1.2445398843556559,-9146542.381865297,-127.00030229779998
35,0.89971689165955,0.9731148769106889,1.1533306831258292,-8738359.026318347,-121.33265135571567
36,0.891519266196649,0.8730939729486379,0.8738508717482608,-7712605.75159307,-107.09000418541942
37,0.8644885149016018,1.1289092957027718,1.1848722277386503,-9107130.181250133,-126.4530614735218
38,1.0533615026041694,1.1114381770563153,1.1822032461394687,-9715835.462998217,-134.90497166698978
39,0.8746280235544144,1.1177676995469932,1.0236053451493905,-8689691.252508096,-120.65689632960685
40,1.122976062065625,1.1188273899770478,0.8908020849831183,-9213527.940094803,-127.93040088473718
41,0.8440207698110708,0.9183805487625825,0.9562646731757538,-7881718.302524871,-109.43814233358715
42,1.1272059063689972,1.108219174976903,0.7041712783187144,-8710151.937848933,-120.94099420124176
43,1.0042989210310262,0.9752233009446336,0.8332646862824381,-8269358.705026399,-114.8205531119096
44,0.8479461469334731,0.9512845514210884,1.2657458223475115,-8794994.713691467,-122.11904135063779
45,0.9292811728083021,1.0056371865230098,1.1218113753371066,-8844557.191443358,-122.80721939588447
46,0.9454518409517176,1.141534624816288,1.2774683769652668,-9667184.422556402,-134.22944898472863
47,0.9007129183301457,0.9991745517677156,0.8805269858900617,-8093593.810880187,-112.38004676995381
48,0.9139361977509871,0.8610660842063598,1.065738600387938,-8263665.663287288,-114.74150487797864
49,1.0010716092915446,0.8654436253749968,0.8671878785419669,-8058760.771808542,-111.89638788473168
50,1.1633063543866615,0.9218685672000917,0.7869369232547339,-8564469.102943175,-118.91817909798318
51,0.9957811041110252,1.1456951362331802,0.8452331629069002,-8718834.358032826,-121.06155013833742
52,1.0688542189623513,1.0784858845986152,0.8425825263954397,-8791269.64604865,-122.06731855780893
53,1.0912865394447437,0.9603349398157759,1.0793834983561477,-9181570.966031313,-127.48667633865811
54,1.0534118843043578,1.0107324052224276,0.7541738620326449,-8326900.99031313,-115.61953127450036
55,1.1341209982356952,0.9462340194915208,0.8119111062399125,-8591860.189919615,-119.29850602164893
